Chromosome	FS	StartPos	EndPos	Frequency	REF
chr10	FRA10B	111900001	114900000	rare	hg19
chr10	FRA10F	119100001	127500000	common	hg19
chr10	FRA10E	114900000	10111900001	common	hg19
chr11	FRA11C/I	16200001	21700000	common/common	hg19
chr11	FRA11D	26100001	27200000	common	hg19
chr11	FRA11E	31000001	36400000	common	hg19
chr11	FRA11EH	63400001	77100000	common	hg19
chr11	FRA11A	68400001	70400000	rare	hg19
chr11	FRA11F	85600001	88300000	common	hg19
chr11	FRA11B/G	114500001	121200000	rare/common	hg19
chr12	FRA12A	46400001	54900000	rare	hg19
chr12	FRA12B	80300001	92600000	common	hg19
chr12	FRA12E	109000001	133851895	common	hg19
chr12	FRA12D	112300001	114300000	rare	hg19
chr12	FRA12C	114300001	120700000	rare	hg19
chr13	FRA13A	34000001	35500000	common	hg19
chr13	FRA13B	55300001	73300000	common	hg19
chr13	FRA13C	59600001	62300000	common	hg19
chr13	FRA13E	73300001	79000000	common	hg19
chr13	FRA13D	95000001	101700000	common	hg19
chr14	FRA14B	58100001	67900000	common	hg19
chr14	FRA14C	67900001	70200000	common	hg19
chr15	FRA15A	59100001	67500000	common	hg19
chr16	FRA16A	14800001	16800000	rare	hg19
chr16	FRA16E	24200001	28100000	common	hg19
chr16	FRA16B/C	66700001	70800000	rare/common	hg19
chr16	WWOX-FRA16D	78133327	81700000	common	hg19
chr17	FRA17A	10700001	16000000	rare	hg19
chr17	FRA17B	57600001	58300000	common	hg19
chr18	FRA18A	32700001	37200000	common	hg19
chr18	FRA18B	53800001	61600000	common	hg19
chr18	FRA18C	66800001	68700000	common	hg19
chr19	FRA19B	1	20000000	rare	hg19
chr19	FRA19A	32400001	59128983	common	hg19
chr20	FRA20B	9200001	12100000	rare	hg19
chr20	FRA20A	17900001	21300000	rare	hg19
chr21	FRA21A	14300000	16400000	rare	hg19
chr22	FRA22B	29600001	32200000	common	hg19
chr22	FRA22A	37600001	37600001	rare	hg19
chrX	FRAXB/D	6978144	7558235	common/common	hg19
chrX	FRAXC	29721307	32743792	common	hg19
chrX	FRAXA	141900001	147100000	rare	hg19
chrX	FRAXE	147100001	155270560	rare	hg19
chr1	FRA1A	10000	27673489	common	hg38
chr1	FRA1B	50234329	60834328	common	hg38
chr1	FRA1L	60834329	84434317	common	hg38
chr1	FRA1C	68434318	69234317	common	hg38
chr1	FRA1D	84434318	94234444	common	hg38
chr1	FRA1M	94234445	99234444	rare	hg38
chr1	FRA1E	99234445	101734444	common	hg38
chr1	FRA1G	172930861	176030864	common	hg38
chr1	FRA1K	185830869	198730871	common	hg38
chr1	FRA1H	223912299	236436700	common	hg38
chr1	FRA1I	243536699	248946422	common	hg38
chr2	FRA2C	16518733	19018742	common	hg38
chr2	FRA2S	43872862	154043487	common	hg38
chr2	FRA2E	68372869	74772873	common	hg38
chr2	FRA2A	96134262	102083540	rare	hg38
chr2	FRA2B	109493760	113642423	rare	hg38
chr2	FRA2F	134342430	136042430	common	hg38
chr2	FRA2K	143342432	147942431	rare	hg38
chr2	FRA2G	168843491	182135273	common	hg38
chr2	FRA2I	196535277	208135276	common	hg38
chr2	FRA2J	236391358	242160331	common	hg38
chr3	FRA3A	23858510	26358509	common	hg38
chr3	FRA3B	58614274	63714324	common	hg38
chr3	FRA3D	149182214	160982212	common	hg38
chr3	FRA3C	182982213	188182212	common	hg38
chr4	FRA4A	5998274	11298376	common	hg38
chr4	FRA4D	11298377	35798378	common	hg38
chr4	FRA4B	51833835	58633835	common	hg38
chr4	FRA4E	87078849	97878849	common	hg38
chr4	FRA4C	138578847	140578846	common	hg38
chr5	FRA5E	18399892	28899893	common	hg38
chr5	FRA5A	28899894	42499898	common	hg38
chr5	FRA5B/D	92964294	98864296	common	hg38
chr5	FRA5F	98864297	110264299	common	hg38
chr5	FRA5C	131264308	136864311	common	hg38
chr5	FRA5G	169072996	181478259	rare	hg38
chr6	FRA6B	4199767	7099767	common	hg38
chr6	FRA6A	13399769	15199769	rare	hg38
chr6	FRA6C	25199773	27032221	common	hg38
chr6	FRA6H	30432224	46232263	common	hg38
chr6	FRA6D	69290109	75190284	common	hg38
chr6	FRA6G	87290283	92390282	common	hg38
chr6	FRA6F	105052126	114278836	common	hg38
chr6	FRA6E	160578969	164078968	common	hg38
chr7	FRA7B	10000	7260369	common	hg38
chr7	FRA7C	34960389	37160395	common	hg38
chr7	FRA7D	43260402	45360401	common	hg38
chr7	FRA7A	53932308	57940294	rare	hg38
chr7	FRA7E	91470686	93170687	common	hg38
chr7	FRA7F	98370689	107759555	common	hg38
chr7	FRA7K	107759556	114959945	common	hg38
chr7	FRA7G	114959946	117759946	common	hg38
chr7	FRA7H	130715173	132915240	common	hg38
chr7	FRA7I	148202909	159335973	common	hg38
chr8	FRA8B	92287773	97987772	common	hg38
chr8	FRA8A	100587773	105187772	rare	hg38
chr8	FRA8C/E	116687762	126287755	common/rare	hg38
chr8	FRA8D	138887758	145078636	common	hg38
chr9	FRA9G	16600003	18500002	common	hg38
chr9	FRA9C	19900003	33200002	common	hg38
chr9	FRA9D	87785086	89185085	common	hg38
chr9	FRA9B/E	112137721	114937720	rare/common	hg38
chr10	FRA10C	51140241	68840244	common	hg38
chr10	FRA10B	110140243	113140241	rare	hg38
chr10	FRA10F	117340490	125811431	common	hg38
chr11	FRA11C/I	16178455	21678454	common/common	hg38
chr11	FRA11D	26078454	27178453	common	hg38
chr11	FRA11E	30978454	36378450	common	hg38
chr11	FRA11EH	63632529	77388955	common	hg38
chr11	FRA11F	85888958	88566832	common	hg38
chr11	FRA11B/G	114629279	121329291	rare/common	hg38
chr12	FRA12A	46006218	54506216	rare	hg38
chr12	FRA12B	79906221	92206224	common	hg38
chr12	FRA12E	108606225	133265309	common	hg38
chr12	FRA12D	111862197	113862195	rare	hg38
chr12	FRA12C	113862196	120262197	rare	hg38
chr13	FRA13A	33425864	34925863	common	hg38
chr13	FRA13B	54725866	72725862	common	hg38
chr13	FRA13C	59025867	61725867	common	hg38
chr13	FRA13E	72725863	78425865	common	hg38
chr13	FRA13D	94347747	101047648	common	hg38
chr14	FRA14B	57633283	67433283	common	hg38
chr14	FRA14C	67433284	69733283	common	hg38
chr15	FRA15A	58807802	67207662	common	hg38
chr16	FRA16A	14706144	16706143	rare	hg38
chr16	FRA16E	24188680	28088679	common	hg38
chr16	FRA16B/C	66666098	70766097	rare/common	hg38
chr16	FRA16D	79166104	81666395	common	hg38
chr17	FRA17A	10796684	16096686	rare	hg38
chr17	FRA17B	59522640	60222639	common	hg38
chr18	FRA18A	35120037	39620036	common	hg38
chr18	FRA18B	56132770	63932766	common	hg38
chr18	FRA18C	69132764	71032764	common	hg38
chr19	FRA19B	60000	19889191	rare	hg38
chr19	FRA19A	31909095	58607616	common	hg38
chr20	FRA20B	9219354	12119352	rare	hg38
chr20	FRA20A	17919357	21319362	rare	hg38
chr21	FRA21A	12965808	15027679	rare	hg38
chr22	FRA22B	29204012	31804014	common	hg38
chr22	FRA22A	37203961	37203961	rare	hg38
chrX	FRAXB/D	7060103	7640194	common/common	hg38
chrX	FRAXC	29703190	32725675	common	hg38
chrX	FRAXA	142812215	148018480	rare	hg38
chrX	FRAXE	148018481	156030895	rare	hg38
chr1	FRA1A	5525	27514774		T2T
chr1	FRA1B	50113286	60713095		T2T
chr1	FRA1L	60713096	84274703		T2T
chr1	FRA1C	68311703	69111851		T2T
chr1	FRA1D	84274704	94082667		T2T
chr1	FRA1M	94082668	99082788		T2T
chr1	FRA1E	99082789	101583653		T2T
chr1	FRA1G	172288953	175386184		T2T
chr1	FRA1K	185185553	197990787		T2T
chr1	FRA1H	223102015	235836467		T2T
chr1	FRA1I	242948870	248384981		T2T
chr2	FRA2C	16550436	19046989		T2T
chr2	FRA2S	43878195	154496367		T2T
chr2	FRA2E	68383439	74781423		T2T
chr2	FRA2L	83073207	91592595		T2T
chr2	FRA2A	96640866	102541832		T2T
chr2	FRA2B	109954839	114067151		T2T
chr2	FRA2F	134781931	136486870		T2T
chr2	FRA2K	143790632	148392883		T2T
chr2	FRA2G	169300979	182624326		T2T
chr2	FRA2I	197019365	208615294		T2T
chr2	FRA2J	236881687	242670312		T2T
chr3	FRA3A	23863288	26361114		T2T
chr3	FRA3B	58654654	63757952		T2T
chr3	FRA3D	151932980	163756939		T2T
chr3	FRA3C	185787305	190999732		T2T
chr4	FRA4A	5970009	11274441		T2T
chr4	FRA4D	11274442	35767327		T2T
chr4	FRA4B	55319786	62125352		T2T
chr4	FRA4E	90408229	101193512		T2T
chr4	FRA4C	141898210	143898548		T2T
chr5	FRA5E	18401730	29005117		T2T
chr5	FRA5A	29005118	42755405		T2T
chr5	FRA5B/D	93448379	99367581		T2T
chr5	FRA5F	99367582	110774778		T2T
chr5	FRA5C	131783322	137386954		T2T
chr5	FRA5G	169608643	182040985		T2T
chr6	FRA6B	4069043	6969280		T2T
chr6	FRA6A	13273033	15072962		T2T
chr6	FRA6C	25065510	26900744		T2T
chr6	FRA6H	30296436	46067387		T2T
chr6	FRA6D	70468783	76367432		T2T
chr6	FRA6G	88499092	93601939		T2T
chr6	FRA6F	106228197	115461960		T2T
chr6	FRA6E	161831975	165443803		T2T
chr7	FRA7B	107741	7379578		T2T
chr7	FRA7C	35101062	37300812		T2T
chr7	FRA7D	43418563	45521145		T2T
chr7	FRA7A	54093937	58145517		T2T
chr7	FRA7J	58632438	79122609		T2T
chr7	FRA7E	92718564	94412724		T2T
chr7	FRA7F	99601431	109077990		T2T
chr7	FRA7K	109077991	116274743		T2T
chr7	FRA7G	116274744	119075692		T2T
chr7	FRA7H	132029459	134236746		T2T
chr7	FRA7I	149382872	160565311		T2T
chr8	FRA8B	93412864	99113231		T2T
chr8	FRA8A	101713818	106315269		T2T
chr8	FRA8C/E	117814383	127414928		T2T
chr8	FRA8D	140007288	146256637		T2T
chr9	FRA9G	16611828	18513247		T2T
chr9	FRA9C	19913878	33218702		T2T
chr9	FRA9D	99938468	101347865		T2T
chr9	FRA9B/E	124309124	127130203		T2T
chr10	FRA10G	42977465	51988852		T2T
chr10	FRA10C	51988853	69709062		T2T
chr10	FRA10B	111024106	114031519		T2T
chr10	FRA10F	118234957	126693884		T2T
chr11	FRA11C/I	16276399	21799084		T2T
chr11	FRA11D	26218887	27318963		T2T
chr11	FRA11E	31114565	36520908		T2T
chr11	FRA11EH	63621866	77321889		T2T
chr11	FRA11A	68637419	70574306		T2T
chr11	FRA11F	85825643	88485973		T2T
chr11	FRA11B/G	114639763	121355470		T2T
chr12	FRA12A	45965763	54472794		T2T
chr12	FRA12B	79884894	92183684		T2T
chr12	FRA12E	108580815	133322644		T2T
chr12	FRA12D	111839109	113838040		T2T
chr12	FRA12C	113838041	120249361		T2T
chr13	FRA13A	32643198	34144200		T2T
chr13	FRA13B	53941910	71947385		T2T
chr13	FRA13C	58245609	60946016		T2T
chr13	FRA13E	71947386	77651127		T2T
chr13	FRA13D	93551487	100262764		T2T
chr14	FRA14B	51840240	61640402		T2T
chr14	FRA14C	61640403	63940949		T2T
chr15	FRA15A	56609812	65029574		T2T
chr16	FRA16A	14730876	16718330		T2T
chr16	FRA16E	24465212	28369127		T2T
chr16	FRA16B/C	72460392	76577269		T2T
chr16	WWOX-FRA16D	84155175	87728053		T2T
chr17	FRA17A	10704596	15998995		T2T
chr17	FRA17B	60390810	61091590		T2T
chr18	FRA18A	35311358	39815457		T2T
chr18	FRA18B	56335470	64137825		T2T
chr18	FRA18C	69349443	71254464		T2T
chr19	FRA19B	10983	20026927		T2T
chr19	FRA19A	34427612	61704428		T2T
chr20	FRA20B	9262266	12162628		T2T
chr20	FRA20A	17970487	21376034		T2T
chr21	FRA21A	11335538	13382867		T2T
chr22	FRA22B	29667522	32268021		T2T
chr22	FRA22A	37663879	37663879		T2T
chrX	FRAXB/D	6613888	7193869		T2T
chrX	FRAXC	29295496	32323670		T2T
chrX	FRAXA	141120791	146284006		T2T
chrX	FRAXE	146284007	154257572		T2T
